assignee
Anhui Masteel Surface Technology Co., Ltd.
Yangzhou Qiaoxing Sports Equipment Co., Ltd.
Dongguan Yongli Technology Co., Ltd.
Yang Liliang
Wuhan Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Wuhan Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Yangzhou Mingsheng New Energy Technology Co., Ltd.
Comba Telecom System (China) Co., Ltd.
Wuhan CommScope Evergreen Software Technology Co., Ltd.
Changan University
Shanghai Kingfa Technology Development Co., Ltd.
Zhejiang Guangsha Construction Vocational and Technical College
Jiangyin Actinium Electrochemical Equipment Co., Ltd.
Shaoxing College of Arts and Sciences
Foshan Yepeng Machinery Co., Ltd.
Huizhou Tianze Yingfeng Internet of Things Technology Co., Ltd.
Mitsubishi Electric Corporation
Shaanxi Tiance New Material Technology Co., Ltd.
Opel Polymer Jiangsu Co., Ltd.
Shanghai Tianma Microelectronics Co., Ltd.
Beijing Elite Technology Co., Ltd.
Huawei Technologies Co., Ltd
Central South University
Chen Fuhuan
Sinosteel Luoyang Refractory Research Institute Co., Ltd.
State Grid Corporation
Tongji University
Weihai Ocean Vocational College
China Mobile Communications Corporation
Shanghai Xinsheng Semiconductor Technology Co., Ltd.
Wenzhou University
Ruidian Technology Co., Ltd.
Qingdao University
Qingdao University
China Rice Research Institute
LG Chem Co., Ltd.
Changzhou Wenxu Machinery Co., Ltd.
Innovation Advanced Technology Co., Ltd.
Beijing industry university
Hebei Shengxue Dacheng Pharmaceutical Co., Ltd.
Taizhou Yuanda Sporting Goods Co., Ltd.
Nanjing Diwo Aviation Technology Co., Ltd.
Shijiazhuang Iron and Steel Co., Ltd.
Chongqing Huike Jinyu Optoelectronics Technology Co., Ltd.
Institute of Telecommunications Science and Technology
Shanghai Juli Optoelectronics Technology Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
BOE Technology Group Co., Ltd.
Huawei Technologies Co., Ltd
Yingshang County Shili Ecological Agriculture Co., Ltd.
Wuhan Textile University
Shanghai Xinke Composite Materials Co., Ltd.
Zhejiang Dongjin New Material Co., Ltd.
Wuhan Iron and Steel Co., Ltd.
Shandong Huate Electric Co., Ltd.
Shaoxing Yasuo New Energy Technology Co., Ltd.
State Grid Hunan Electric Power Company Energy Conservation Management Branch
Jiangsu Institute of Technology
Beijing Longfu Hospital
AVIC Beijing Institute of Aeronautical Materials
Xie Yuming
Shanghai Jiaotong University
Foshan Diyi Machinery Technology Co., Ltd.
Baowu Group Echeng Iron and Steel Co., Ltd.
Xu Changbin
Shanghai Feike Electric Co., Ltd.
Shaoxing College of Arts and Sciences
Beijing BOE Display Technology Co., Ltd.
Beijing High Energy Times Environmental Technology Co., Ltd.
South China Normal University
China Jiliang University
Mitsubishi Chemical Corporation
Hitachi Metals Advanced Materials Co., Ltd.
Suzhou Xinmai Medical Equipment Co., Ltd.
Ningbo CRRC Times Electric Equipment Co., Ltd.
Beijing Jindoubaoer Technology Development Center (Limited Partnership)
Jiangsu Yandian Valve Co., Ltd.
Guangzhou Ceyou Human Resources Co., Ltd.
Nippon Electric Glass Co., Ltd.
Trinseo Europe LLC
illinois tool products co., ltd.
Quanta Computer Co., Ltd.
Beijing Academy of Agriculture and Forestry
Beijing Baidu Netcom Technology Co., Ltd.
Nanjing Vehicle Chain Technology Co., Ltd.
Nantong Shirui Power Technology Co., Ltd.
Canon Electronics Co., Ltd.
Zhejiang Compass Intelligent Technology Co., Ltd.
BOE Technology Group Co., Ltd.
Xidian University
Oujiang College of Wenzhou University
Chengdu BOE Optoelectronics Technology Co., Ltd.
Huafeng Chongqing Spandex Co., Ltd.
Zhongkai University of Agriculture Engineering
Central South University
Zhuhai Ute Power Technology Co., Ltd.
Shandong Normal University
Zhejiang Lawston Technology Co., Ltd.
Jiangsu Boyun Plastic Industry Co., Ltd.
Shenzhen Hongyeji Geotechnical Technology Co., Ltd.
Tianjin University
Beijing industry university
Beijing University
Chongqing Jiaotong University
Chengdu Aircraft Industry (Group) Co., Ltd.
Anhui Dingheng Remanufacturing Industry Technology Research Institute Co., Ltd.
Shenyang Agricultural University
Wuhan University of Technology
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Jiang Yongbin
Yifeng Display Technology (Shenzhen) Co., Ltd.
Hubei Yangtian Plastic Products Co., Ltd.
South China Agricultural University
Midea Group E-Commerce Co., Ltd.
Institute of Agricultural Products Processing, Chinese Academy of Agricultural Sciences
Huizhou Fuliang Furniture Co., Ltd.
CNBM Innovation Technology Research Institute Co., Ltd.
Jinan Universty
GCL Energy Engineering Co., Ltd.
Fujian College of Engineering
Sony Corporation
Henan Liming Heavy Industry Technology Co., Ltd.
Suzhou Intelligent Manufacturing Research Institute Co., Ltd.
Audi AG
Xiamen University
nolitac co., ltd.
Tianjin University of Science and Technology
Guangdong Shuiqing Environmental Protection Technology Co., Ltd.
Ningbo Yaosheng Tools Industry Co., Ltd.
Shenzhen Robo Intelligent Technology Co., Ltd.
Yangzhou Zhihui Internet Information Technology Co., Ltd.
Green Bay Network Technology Co., Ltd.
Dongguan Boneng Electronic Technology Co., Ltd.
Beihang University
CRRC Datong Electric Locomotive Co., Ltd.
Nantong university
Guangxi Guiping Wanshan Cinnamon Seedling Cultivation Co., Ltd.
Huawei Technologies Co., Ltd
Xi'an Jiaotong University
Yunnan University
Shandong Shunshui Industrial Equipment Co., Ltd.
Nanjing Railway Vocational and Technical College
Meitong Heavy Industry Co., Ltd.
Konami Amusement Co., Ltd.
Shanghai Nokia Bell Co., Ltd.
Shandong Institute of Quantum Science and Technology Co., Ltd.
Tianjin Weiman Biomaterials Co., Ltd.
Fujian Yuanxiang New Materials Co., Ltd.
NXP America Ltd.
Hubei Yili Shunda Power Technology Co., Ltd.
Beijing Xiaomi Mobile Software Co., Ltd.
Wenzhou Hongye Fitness Equipment Co., Ltd.
Qingdao Xinweicheng Pipe Fittings Co., Ltd.
Lanzhou University of Technology
Ericsson Sweden Ltd.
China Institute of Atomic Energy
Shanghai Zhenhua Heavy Industry (Group) Co., Ltd.
Guangdong Gaopuda Group Co., Ltd.
Mitsubishi Hitachi Power Systems Co., Ltd.
Shenzhen University
PLA Army Engineering University
Freshwater Fisheries Research Center, Chinese Academy of Fishery Sciences
Xiamen Tianma Microelectronics Co., Ltd.
Hebei Depu Electric Co., Ltd.
Eight Dragons Applied Materials Technology (Hainan) Co., Ltd.
Yancheng Copell Technology Development Co., Ltd.
Baidu Online Network Technology (Beijing) Co., Ltd.
Shandong Institute of Aerospace Electronics Technology
Jingmen GEM New Materials Co., Ltd.
Hitachi Metals Corporation
Shanghai Jinfansi Intelligent Identification Co., Ltd.
ottokump joint ag
Shaoyang College
LG Display Co., Ltd.
Shenzhen University
rockwell collins
Dalian Petrochemical Research Institute, China Petroleum & Chemical Corporation
Alibaba Group Holdings Limited
Shanghai Cambrian Information Technology Co., Ltd.
Innosecco (Zhuhai) Technology Co., Ltd.
Fudan University
Guangdong Hisense Broadband Technology Co., Ltd.
Shandong Agricultural University
Guangxi Guangpu New Energy Equipment Co., Ltd.
Textile Industry Research Institute
Li Qinghui
Heilongjiang Lande Ultrasonic Technology Co., Ltd.
BOE Technology Group Co., Ltd.
Shanghai Huali Integrated Circuit Manufacturing Co., Ltd.
Zheng Linda
Vivo Mobile Communication Co., Ltd.
Guangxi Zhuang Autonomous Region Academy of Agricultural Sciences
Shougang Group Co., Ltd.
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Zhao Jingyi
Shanghai Aishen Technology Development Co., Ltd.
Jiangsu Ruikang New Material Technology Co., Ltd.
State Grid Corporation of China
Beijing University
Ningbo Aocheng Biotechnology Co., Ltd.
Jiangle County Science and Technology Museum
Chengdu Yicheng Technology Co., Ltd.
Suzhou Saizhong Electromechanical Co., Ltd.
Qualcomm Incorporated
Shenzhen Polytechnic
LG Electronics Co., Ltd.
Hainan Normal University
State Grid Corporation of China
Southeast University
Hangzhou Pengmiao Biotechnology Co., Ltd.
Guangdong Lianxun Precision Manufacturing Co., Ltd.
Jiande Yalida Tools Co., Ltd.
China General Nuclear Power Co., Ltd.
Institute of Microelectronics, Chinese Academy of Sciences
Duoping (Tianjin) Technology Co., Ltd.
Qualcomm Incorporated
Xiangtan Fengda Bosai Auto Parts Co., Ltd.
Intel IP Corporation
Spreadtrum Communications (Shanghai) Co., Ltd.
Sichuan Institute of Plant Engineering
Anhui Chunbo Environmental Protection Technology Co., Ltd.
Haimen Payuan Road and Bridge Construction Co., Ltd.
Northeast Agricultural University
Dongguan Lianqiao Electronics Co., Ltd.
Kia Motors Corporation
Shanghai Huabao Peacock Flavor Co., Ltd.
China University of Petroleum (East China)
Qualcomm Incorporated
Yungu (Gu'an) Technology Co., Ltd.
Shenzhen Guochuang Power System Co., Ltd.
Zhou Yuqin
Yang Zhibo
Datang Semiconductor Design Co., Ltd.
Zhejiang Aixu Solar Technology Co., Ltd.
China Institute of Atomic Energy
Anhui Jianghuai Automobile Group Co., Ltd.
Great Wall Motor Co., Ltd.
Shanghai Langbo Communication Technology Co., Ltd.
Beijing Dajia Internet Information Technology Co., Ltd.
Yanshan University
Yungu (Gu'an) Technology Co., Ltd.
Wuhan Douyu Network Technology Co., Ltd.
Beijing Institute of Technology
Huachuang Good Agriculture Biotechnology (Wuhan) Co., Ltd.
Wenzhou Sentai Environmental Protection Equipment Co., Ltd.
Huizhou TCL Mobile Communication Co., Ltd.
Tongji University
Government Affairs and Public Welfare Organization Domain Name Registration Management Center
Xiamen Dabai Technology Co., Ltd.
Showa Co., Ltd.
University of Science and Technology Beijing
Wuhan United Imaging Zhirong Medical Technology Co., Ltd.
Nanjing University of Aeronautics and Astronautics
Shan Dong University
Envision Energy (Jiangsu) Co., Ltd.
Hubei University
Northeast Normal University
LG Chem Co. , Ltd.
Nanjing Sanman Internet Technology Co., Ltd.
Li Zhikai
Institute of Tropical Biotechnology, Chinese Academy of Tropical Agricultural Sciences
PLA Army Engineering University
Leader City Technology (Jiangsu) Co., Ltd.
Beihang University
Guangzhou Jiasheng Printing Co., Ltd.
Huazhong University of Science and Technology
Panasonic Intellectual Property Management Co., Ltd.
Nantong East Asia Dyeing and Finishing Co., Ltd.
Huawei Technologies Co., Ltd
CRRC Zhuzhou Electric Locomotive Co., Ltd.
Nanjing University of Aeronautics and Astronautics
Nanjing University of Posts and Telecommunications
Suzhou University
Brite Microelectronics Technology (Beijing) Co., Ltd.
Shenzhen Yongtaiyun Technology Co., Ltd.
Entropy Technology Co., Ltd.
Sun Yat-Sen University
Lingsi Microelectronics (Shenzhen) Co., Ltd.
Frantech Heavy Industries Co., Ltd.
Hunan Junyueda Technology Co., Ltd.
Institute of Physics and Chemistry, Chinese Academy of Sciences
Alibaba Group Holdings Limited
Zhejiang Hengjie Communication Technology Co., Ltd.
Nanjing Agricultural College
Ma'anshan Aspiration Network Technology Co., Ltd.
Jiangsu Institute of Technology
Guangzhou Zhongdaxiang Electrical Technology Co., Ltd.
LG Display Co., Ltd.
University of Stuttgart
Jiangsu University
Guangzhou Beerkang Medical Equipment Co., Ltd.
China Jiliang University
North China Electric Power University
Hebei Puxing Electronic Technology Co., Ltd.
Jiangsu Zhongling High-tech Co., Ltd.
Hangzhou University of Electronic Science and Technology
Zibo Gongtao New Material Group Co., Ltd.
Gosuncn IOT Technology Co., Ltd.
China Mobile Communications Corporation
Henan Weihua Heavy Machinery Co., Ltd.
Huazhong Agricultural University
Jiangxi Normal University
Li Yanhua
Jiangxi Ruimei Cosmetics Packaging Materials Co., Ltd.
BOE Technology Group Co., Ltd.
Wuxi Little Swan Electric Co., Ltd.
Jilin Institute of Physical Education
Shanghai Tianma Organic Light Emitting Display Technology Co., Ltd.
Huoqiu Minglou Glazed Tile Co., Ltd.
State Grid Shandong Electric Power Company Qixia Power Supply Company
China Railway Construction Heavy Industry Group Co., Ltd.
Zhengzhou University
Jiaxing Soloway New Energy Co., Ltd.
Shanxi Jincheng Anthracite Mining Group Co., Ltd.
China Nuclear Industry Motor Operation Technology Development Co., Ltd.
STMicroelectronics International Ltd.
Liang Yi
Wenzhou Laiyi Machinery Co., Ltd.
Guangdong Nufront Technology Co., Ltd.
Wuhan Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
China Railway Rail Transit Equipment Co., Ltd.
Hangzhou Haicun Information Technology Co., Ltd.
University of Electronic Science and Technology of China
Zhao Hongyan
Shanghai Institute of Satellite Engineering
Shan Xiao
Ningxia Hongshanhe Food Co., Ltd.
China United Network Communications Co., Ltd. Guangdong Branch
Hitachi Building Technology (Guangzhou) Co., Ltd.
Zhuhai Meizu Technology Co., Ltd.
China Railway Construction High-tech Equipment Co., Ltd.
China Construction First Bureau (Group) Co., Ltd.
NTT Docomo Co. , Ltd.
Zheng Shanghai
Beijing industry university
Yongkang Chaori Industry and Trade Co., Ltd.
Ericsson Sweden Ltd.
robert bosch gmbh
Ji Neng Electric (Suzhou) Co., Ltd.
Jinan Hansman Times Technology Co., Ltd.
Jiangxi Avenda HVAC Technology Co., Ltd.
Tianjin Zhongjie Environmental Protection Technology Co., Ltd.
Honda Giken Industry Co., Ltd.
Hegang Co., Ltd. Chengde Branch
Vivo Mobile Communication Co., Ltd.
Shandong Long Kete Enzyme Preparation Co., Ltd.
Sichuan Qinghe Zhengben Biotechnology Co., Ltd.
Beijing Yuanguang Zhixing Information Technology Co., Ltd.
Baowu Group Echeng Iron and Steel Co., Ltd.
Jiangsu Zhongke Yilian Communication Technology Co., Ltd.
Gao Yanni
Wuhan Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Xi'an Zhoutong New Material Technology Co., Ltd.
Shenzhen International Flying Chi Logistics Co., Ltd.
Zhejiang Lantian Intellectual Property Operation Management Co., Ltd.
Rongzhitong Technology (Beijing) Co., Ltd.
Anhui Xunlida Elevator Co., Ltd.
Zhejiang University
Yangzhou Hengchun Electronics Co., Ltd.
Henan University of Traditional Chinese Medicine
Shenzhen Daotong Intelligent Aviation Technology Co., Ltd.
Dongyang Yan'an Construction Engineering Co., Ltd.
Rongcheng Molin Automotive Technology Co., Ltd.
Southeast University
University of Electronic Science and Technology of China
Zhongyuan University of Technology
Japan Display Co., Ltd.
General Motors Global Technology Operations LLC
Chengdu Yonghong Machinery Co., Ltd.
TCL Household Appliances (Hefei) Co., Ltd.
Wang Jindou
Huawei Technologies Co., Ltd
Jinan University
ares trading co., ltd.
Dongguan Baode Electronics Co., Ltd.
Guangdong Longma New Material Technology Co., Ltd.
Chengrui Optical (Changzhou) Co., Ltd.
University of Electronic Science and Technology of China
China Building Materials Research Institute Co., Ltd.
China FAW Co., Ltd.
Hubei Chukai Metallurgical Co., Ltd.
leichler gmbh
Anthony Karl Hamilton
Hangzhou Nuoyun Technology Co., Ltd.
Dalian Petrochemical Research Institute, China Petroleum & Chemical Corporation
American Axle Manufacturing Company
Beijing University of Chemical Technology
Haier Smart Home Co., Ltd.
Shanghai Cable Research Institute Co., Ltd.
Lin Wenyi
Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences
Shenzhen Pengjing Technology Co., Ltd.
Zhejiang Lejia Hardware Technology Co., Ltd.
Xi hua University
Maanshan Iron & Steel (Hefei) Plate Co., Ltd.
Harbin Engineering University
Mitsui Chemicals Co., Ltd.
Anhui Guida Auto Parts Co., Ltd.
Shandong Houyu Industrial Co., Ltd.
Samoa Merchant International Holdings Limited
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
China Mobile Communications Corporation
Tencent Technology (Shenzhen) Co., Ltd.
Fengzhi (Shanghai) New Energy Technology Co., Ltd.
LG Display Co., Ltd.
Qualcomm Incorporated
Hefei University of Technology
Xi'an Jiaying Enterprise Management Consulting Co., Ltd.
Innovation Advanced Technology Co., Ltd.
Shanghai University of Applied Sciences
Fuzhou Haomai Furniture Co., Ltd.
Xiamen Guanyu Technology Co., Ltd.
Jiaxing Fangsheng Electronic Technology Co., Ltd.
Wuhan Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Xi'an Jiaotong University
Fujian First Highway Engineering Group Co., Ltd.
TCL Technology Group Co., Ltd.
Institute of Aerospace Materials and Technology
Shanghai Jieshi Medical Technology Co., Ltd.
State Grid Shanghai Electric Power Company
Yantai Hongyuan Oxygen Industry Co., Ltd.
Jiaxing Huazhu Electronics Co., Ltd.
Nokia Communications
Jinjiang Sandong Garment Weaving Co., Ltd.
Xi'an Dianyun Biotechnology Co., Ltd.
South China Normal University
SMIC Integrated Circuit Manufacturing (Shanghai) Co., Ltd.
Shanghai Datang Mobile Communication Equipment Co., Ltd.
Hefei University of Technology
Taizhou Vocational and Technical College
Samsung Electronics Co., Ltd.
Changsha University of Science and Technology
Sun Qiang
voith patent gmbh
Jinzhai Zhixing Intellectual Property Operation Co., Ltd.
Jinyang (Xiamen) New Material Technology Co., Ltd.
Beijing Research Institute of Chemical Industry, China Petroleum & Chemical Corporation
Huazhong University of Science and Technology
University of Science and Technology of China
Institute of Information Engineering, Chinese Academy of Sciences
